solar_kw,wind_kw,battery_kwh,capex,opex,lcoe_per_kwh,renewable_fraction,unmet_load_kwh
300,200,400,668640.0000000001,13600.0,0.08825281048511457,0.369522838076495,0.0
300,200,800,794080.0000000001,15600.0,0.10404937408191182,0.3696010342721326,0.0
300,200,1200,919520.0000000001,17600.0,0.11984593767870909,0.3696612631756572,0.0
300,300,400,814240.0000000001,17600.0,0.08636291880944166,0.4601142510644805,0.0
300,300,800,939680.0000000001,19600.0,0.09889013964718865,0.4627672346815138,0.0
300,300,1200,1065120.0,21600.0,0.11141736048493563,0.46284517297167926,0.0
300,400,400,959840.0000000001,21600.0,0.08511334292411994,0.5324405263806004,0.0
300,400,800,1085280.0,23600.0,0.09549149352074268,0.5517279203034592,0.0
300,400,1200,1210720.0,25600.0,0.10586964411736545,0.5536356530684533,0.0
300,500,400,1105440.0,25600.0,0.084225578904404,0.5873852961224827,0.0
300,500,800,1230880.0000000002,27600.0,0.09308360643560071,0.623853824081101,0.0
300,500,1200,1356320.0000000002,29600.0,0.1019416339667974,0.6392231775191056,0.0
450,200,400,794640.0000000001,15400.0,0.08378888213400987,0.45752300571697985,0.0
450,200,800,920080.0000000001,17400.0,0.09653618125953206,0.45813442734731713,0.0
450,200,1200,1045520.0000000001,19400.0,0.10928348038505424,0.4582216853685071,0.0
450,300,400,940240.0000000001,19400.0,0.08298728928618268,0.5437783201995968,0.0
450,300,800,1065680.0,21400.0,0.09351833168404756,0.5499908517713865,0.0
450,300,1200,1191120.0,23400.0,0.10404937408191248,0.5505668313280639,0.0
450,400,400,1085840.0,23400.0,0.08241570303612088,0.6092412447749532,0.0
450,400,800,1211280.0,25400.0,0.09138617961042611,0.6346250324754937,0.0
450,400,1200,1336720.0000000002,27400.0,0.10035665618473137,0.6393691888876818,0.0
450,500,400,1231440.0000000002,27400.0,0.08198723376311921,0.6569360267053577,0.0
450,500,800,1356880.0000000002,29400.0,0.08979954221008375,0.6989496209951443,0.0
450,500,1200,1482320.0000000002,31400.0,0.0976118506570483,0.7195920864765204,0.0
600,200,400,920640.0000000001,17200.0,0.08076335009483006,0.5387764870325653,0.0
600,200,800,1046080.0000000001,19200.0,0.09144731816746285,0.5441161165671113,0.0
600,200,1200,1171520.0,21200.0,0.10213128624009565,0.5453020195779269,0.0
600,300,400,1066240.0,21200.0,0.08053205291168886,0.6171855569073764,0.0
600,300,800,1191680.0,23200.0,0.08961479886992177,0.6308804776521454,0.0
600,300,1200,1317120.0000000002,25200.0,0.09869754482815468,0.6355976327287758,0.0
600,400,400,1211840.0,25200.0,0.08035452868671664,0.6747723458187795,0.0
600,400,800,1337280.0000000002,27200.0,0.08825281048511537,0.7078483352964317,0.0
600,400,1200,1462720.0000000002,29200.0,0.09615109228351405,0.7190655003169497,0.0
600,500,400,1357440.0000000002,29200.0,0.08021376619966847,0.7162721529134088,0.0
600,500,800,1482880.0000000002,31200.0,0.08720050671001156,0.7632968392086358,0.0
600,500,1200,1608320.0000000002,33200.0,0.09418724722035465,0.789386009869592,0.0
750,200,400,1046640.0000000001,19000.0,0.07857811962530002,0.6042727062497378,0.0
750,200,800,1172080.0,21000.0,0.08777334359388428,0.6195225474080408,0.0
750,200,1200,1297520.0000000002,23000.0,0.09696856756246852,0.6269607853395708,0.0
750,300,400,1192240.0,23000.0,0.0786668014451323,0.6736402806052335,0.0
750,300,800,1317680.0000000002,25000.0,0.08665107327413017,0.6983432735592272,0.0
750,300,1200,1443120.0000000002,27000.0,0.09463534510312804,0.710989485865895,0.0
750,400,400,1337840.0000000002,27000.0,0.0787292572211798,0.7233927553336796,0.0
750,400,800,1463280.0000000002,29000.0,0.08578390993424453,0.7647541073690037,0.0
750,400,1200,1588720.0000000002,31000.0,0.0928385626473093,0.7855224167490097,0.0
750,500,400,1483440.0000000002,31000.0,0.07877487232703716,0.7582773446005865,0.0
750,500,800,1608880.0000000002,33000.0,0.08509349776575613,0.8102913054246513,0.0
750,500,1200,1734320.0000000002,35000.0,0.0914121232044751,0.8426020452595094,0.0
900,200,400,1172640.0,20800.0,0.07692603673840392,0.648176350397691,0.0
900,200,800,1298080.0000000002,22800.0,0.08499652518148673,0.6759787156367535,0.0
900,200,1200,1423520.0000000002,24800.0,0.09306701362456953,0.6943017162953061,0.0
900,300,400,1318240.0000000002,24800.0,0.07720202740395281,0.7098925220294924,0.0
900,300,800,1443680.0000000002,26800.0,0.08432467278570803,0.7448567678375249,0.0
900,300,1200,1569120.0000000002,28800.0,0.09144731816746325,0.7695259688989728,0.0
900,400,400,1463840.0000000002,28800.0,0.07741523257124945,0.7538798602504904,0.0
900,400,800,1589280.0000000002,30800.0,0.0837888821340106,0.8019309573289826,0.0
900,400,1200,1714720.0000000002,32800.0,0.09016253169677176,0.8317676704740156,0.0
900,500,400,1609440.0000000002,32800.0,0.07758445759015055,0.7845432673140751,0.0
900,500,800,1734880.0000000002,34800.0,0.08335139375686425,0.8405592465386892,0.0
900,500,1200,1860320.0000000002,36800.0,0.08911832992357795,0.8777462917614511,0.0
